la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-HX,Swindon,82,1,85,0,1,4,17,20.5,48.1,0.1,300,5.6,11.4,88.1,300,1.2,3.9,0,20,0.8,1,7.6,15,1516,7206,11717,22387,35260,756,131,79.5,103.2,165.2,449
00-HY,Wiltshire,84,0,94,1,4,6,16,18.1,33.2,0.1,300,5.5,11.5,69.6,300,1.2,3.8,0.1,20,0.8,1.2,9,12.8,5990,18453,33074,57771,63930,734,115.1,67.1,93.3,154.3,251
00-JA,City of Peterborough,94,3,98,0,0,1,4,33.6,53.2,0,1000,5.2,9.9,78,455.4,3,4.3,0,20,0.8,1.1,7.4,13.3,2262,7420,9945,12375,36197,1302,161,107.5,128.6,193.8,239
00-KA,Luton,98,0,98,0,0,1,2,44.1,53.3,0.1,300,5,10.4,82.5,300,3,4.3,0.1,29.6,0.8,1,6.7,15,1666,5967,6954,11492,38369,1,160.7,111.1,138.3,177.8,682
00-KB,Bedford,87,1,91,1,4,6,12,23.5,44.2,0.1,300,4.8,10.6,80.3,300,1.3,4.1,0,20,0.8,1.1,7.5,14.4,2903,6712,7669,13724,28541,49,127.2,78.8,100.3,157.9,962
00-KC,Central Bedfordshire,88,0,91,1,3,6,12,21.2,40.9,0.1,300,5.2,12.1,78.5,300,1.2,4,0,20,0.8,1.2,8.1,14.5,3111,9132,13304,30856,43203,13,127.4,78.1,107.2,153.5,208.6
00-KF,Southend-on-Sea,95,0,96,0,0,0,5,22.4,44.3,0.1,300,6.6,13.5,79.7,300,1.3,4.3,0.1,20,0.9,1.2,8.2,13,603,2136,8999,22486,29689,10,154.6,93.9,135.8,177.4,278.8
00-KG,Thurrock,92,0,94,0,1,4,7,23.3,47.8,0.2,300,5.3,11,86.1,300,1.3,4.4,0.1,20,0.8,1.1,8.2,15,1913,5224,8031,13833,26562,217,160.9,106.8,141.7,182.6,378.6
00-LC,Medway,95,0,97,0,1,2,5,39.9,52.8,0.2,300,5.5,11,88.2,300,3,4.5,0,20,0.8,1.1,7.6,13.8,2172,8013,12959,20286,51157,28,152.6,103.5,137.6,166.9,362.7
00-London,London,89,4,95,0,0,1,7,20,39.6,0,300,6.2,12.1,75.1,300,1.2,3.8,0,20,0.9,1.1,7.7,14.4,38746,177013,494540,933347,1262744,2131,157.5,112.6,136.9,183.7,344.1
00-MA,Bracknell Forest,94,0,97,0,1,1,6,32.4,44.9,0,300,4.8,9.3,76.5,300,3,4.9,0,20,0.8,1.2,8.6,15,1353,5828,5504,7042,22119,4,152,94.9,116.7,182.4,567.2
00-MB,West Berkshire,76,19,97,0,1,1,5,19.1,35.3,0.1,1000,5.5,11.7,69,983.8,1.2,4,0,20,0.8,1.2,9.4,15,1910,5926,9769,18690,21834,130,121.2,69.6,91.2,167.3,272.3
